,Category,km4week,sp4week,CrossTraining,Wall21,MarathonTime
3,M45,137.5,12.25854383,0,1.32,2.68
4,MAM,84.6,13.94505495,0,1.36,2.74
5,M40,42.2,13.61290323,0,1.32,2.78
6,M40,89.0,12.59433962,0,1.38,2.81
7,M45,106.0,12.69461078,0,1.41,2.84
8,MAM,70.0,13.7704918,1,1.38,2.83
9,M45,84.2,13.36507937,0,1.35,2.86
10,MAM,93.5,13.2,0,1.42,2.87
11,M50,65.7,13.36271186,0,1.40,2.87
12,M45,53.5,14.07894737,4,1.37,2.88
13,M40,84.4,13.83606557,0,1.41,2.88
14,MAM,76.8,12.94382022,0,1.44,2.89
15,MAM,76.1,14.970491800000001,0,1.45,2.9
16,M55,112.3,12.59439252,1,1.44,2.91
17,M40,49.7,14.33653846,0,1.44,2.91
18,MAM,84.5,12.54950495,0,1.45,2.93
19,MAM,76.7,8.031413613,0,1.41,2.94
20,MAM,94.5,11.88679245,0,1.45,2.99
21,M40,67.3,13.23934426,0,1.50,3.04
22,M40,59.4,12.63829787,0,1.50,3.05
23,M45,66.1,12.12844037,0,1.48,3.09
24,MAM,67.4,12.87898089,0,1.52,3.1
26,WAM,129.6,12.18808777,0,1.54,3.12
27,MAM,82.4,11.77142857,0,1.52,3.14
28,M45,51.6,13.00840336,0,1.50,3.15
29,M50,104.9,11.72067039,0,1.57,3.16
30,MAM,52.5,12.5498008,3,1.62,3.19
31,MAM,79.4,13.34453782,0,1.60,3.19
32,M45,65.6,11.89123867,0,1.51,3.21
33,M50,112.4,12.28415301,0,1.58,3.21
35,MAM,50.1,11.88142292,0,1.62,3.22
36,MAM,50.1,12.17004049,0,1.56,3.23
37,M45,52.1,12.16342412,0,1.61,3.24
38,MAM,64.7,13.29452055,0,1.50,3.24
39,WAM,69.2,10.05326877,0,1.60,3.25
40,M45,61.3,12.38383838,0,1.59,3.28
41,M55,58.8,12.82909091,0,1.68,3.28
42,MAM,82.7,11.64788732,0,1.78,3.32
43,MAM,32.2,12.71052632,0,1.62,3.32
44,M40,27.7,11.62237762,3,1.67,3.32
45,MAM,68.0,11.79190751,0,1.67,3.33
46,WAM,48.6,12.25210084,0,1.66,3.33
47,M45,39.6,12.24742268,0,1.67,3.35
48,M45,60.1,12.18243243,0,1.55,3.36
49,MAM,78.2,12.0,0,1.64,3.39
50,MAM,50.3,10.16161616,0,1.67,3.4
52,M40,121.7,9.907734057,0,1.65,3.46
54,M40,70.7,11.78333333,0,1.77,3.47
55,MAM,26.9,13.12195122,0,1.67,3.5
56,MAM,56.2,12.08602151,0,1.71,3.5
57,MAM,36.3,11.64705882,0,1.72,3.51
58,MAM,22.7,12.72897196,0,1.67,3.52
59,M40,45.2,11.02439024,0,1.77,3.52
60,M40,43.2,10.93670886,0,1.76,3.55
61,MAM,54.1,11.11643836,0,1.63,3.55
62,M45,48.8,11.66533865,0,1.66,3.56
63,MAM,20.7,12.42,5,1.69,3.56
64,M40,54.2,11.7826087,0,1.69,3.59
65,M45,60.3,11.70873786,0,1.88,3.62
66,MAM,48.5,11.02272727,3,1.93,3.64
67,MAM,34.3,11.30769231,0,1.74,3.64
68,MAM,59.1,10.91076923,0,1.75,3.65
69,MAM,41.6,12.23529412,0,1.80,3.67
70,M45,87.0,11.47252747,0,1.81,3.68
71,M50,24.2,11.52380952,3,1.76,3.69
72,WAM,52.3,11.70895522,0,1.94,3.69
74,MAM,66.7,11.56647399,0,1.90,3.76
75,MAM,23.9,12.05042017,4,1.85,3.78
76,MAM,40.3,8.337931034,5,1.94,3.8
77,MAM,30.6,11.06024096,0,1.97,3.87
78,MAM,28.0,11.2,0,1.97,3.89
79,MAM,53.9,11.80291971,0,1.98,3.9
81,MAM,35.6,11125.0,0,2.05,3.92
82,M55,50.0,10.83032491,0,2.02,3.93
83,M40,33.6,10.13065327,3,1.94,3.93
84,M40,55.4,11.04318937,0,1.94,3.94
85,M45,33.2,11.06666667,0,2.05,3.95
86,M40,17.9,10.84848485,5,2.05,3.98
